"Fecha","Producto","Cantidad","PrecioUnitario"
"2024-03-01","Laptop Dell",2,1200.5
"2024-02-02","Smartphone Samsung",3,850
"2024-04-03","Tablet iPad",1,600.99
"2024-04-04","Monitor LG",2,300.75
"2024-01-05","Teclado Mec치nico",5,120
"2024-02-06","Mouse Inal치mbrico",4,80.5
"2024-03-07","Impresora HP",1,220.3
"2024-06-08","Auriculares Sony",3,150.25
"2024-07-09","Disco Duro 1TB",2,90.4
"2024-04-10","Tarjeta Gr치fica RTX 3060",1,450.6
"2024-05-11","Memoria RAM 16GB",2,130.75
"2024-04-12","Router Wi-Fi 6",1,110
"2024-02-13","Consola PlayStation 5",1,500.99
"2024-02-14","Silla Gamer",2,250.45
"2024-01-15","C치mara Web Logitech",1,95.99